Text,Rating
"Hey, how are you doing today?",0
Can you help me with this project?,0
What's your favorite movie?,0
Let's catch up over coffee sometime!,0
"You know how to turn me on, it's incredible.",1
Why don't you show a bit more next time?,1
You have a really sexy voice on the phone.,1
"That pose is very provocative, you know what you're doing.",1
"Prove to me you care, send more pics now.",2
You should really send a video to keep my interest. Don't make me regret trusting you.,2
"If you don't send a video, you're not worth my time. It's up to you.",2
"I might get upset if you don't send more pics, you know?",2
Don't make me spread these pictures around.,3
"You know the consequences, it's your choice.",3
What do you think your family might say if they saw these?,3
You don't want trouble. You better do what I say.,3
"Send me those pictures now, or I'll make sure you regret it.",4
Something bad might happen if you don't send me a video.,4
"I have all your information, don't test me. Send them immediately.",4
"I want more videos. Give them to me, or else.",4
"Send me that video right now, or you're fired.",5
I'll ruin your reputation if you don't comply.,5
"Send me more. You don't want these to get out, do you?",5
"Don't make me ruin your future over this. You better send more, or else.",5